person_id,skill_id,proficiency,years_experience
1,201,expert,7
1,203,advanced,4
1,209,advanced,5
2,202,advanced,3
2,203,expert,5
2,208,advanced,4
3,201,expert,6
3,211,expert,5
3,208,advanced,3
4,210,expert,4
4,209,expert,5
4,212,expert,4
5,204,expert,5
5,206,expert,4
5,205,advanced,3
6,203,advanced,4
6,208,expert,6
6,213,advanced,3
7,201,expert,4
7,211,expert,3
7,212,advanced,2
8,213,intermediate,2
9,204,advanced,4
9,206,advanced,3
10,202,expert,5
10,214,advanced,4
10,209,advanced,3
11,201,advanced,3
11,205,advanced,2
12,201,advanced,4
12,208,expert,5
12,214,advanced,3
13,203,advanced,4
13,209,advanced,5
14,205,intermediate,1
14,207,intermediate,1
15,204,intermediate,2
