person_id,project_id,role,since,hours_per_week
1,101,Tech Lead,2024-01-15,30
2,101,Developer,2024-01-15,40
4,101,DevOps,2024-02-01,20
5,105,Developer,2024-02-15,40
6,101,Developer,2024-01-20,35
6,107,Developer,2023-03-01,10
7,104,ML Lead,2024-06-01,40
8,105,Product Owner,2024-02-15,15
8,102,Product Owner,2024-03-01,15
3,102,Data Lead,2024-03-01,35
9,105,Designer,2024-02-15,30
10,106,Tech Lead,2024-01-01,40
4,103,Tech Lead,2023-11-01,20
11,101,QA Lead,2024-02-01,30
11,105,QA,2024-03-01,10
12,102,Data Engineer,2024-03-15,35
14,108,Developer,2024-04-01,40
15,108,Writer,2024-04-15,20
2,108,Developer,2024-04-01,10
